x,z
-9776,7693
-9775,-4881
-9775,-4880
-9775,5059
-9774,-4881
-9774,5058
-9773,5057
-9772,5056
-9770,-3372
-9764,-3366
-9763,2913
-9762,2912
-9761,2911
-9761,2912
-9760,2910
-9760,2911
-9759,-4685
-9759,2909
-9753,-4679
-9752,-5236
-9752,907
-9751,-5237
-9751,906
-9750,-5238
-9750,905
-9749,-9987
-9749,-5239
-9749,904
-9748,-9988
-9748,-5240
-9748,7055
-9747,-9989
-9747,7054
-9746,7053
-9746,7054
-9745,7052
-9742,-8156
-9741,-9736
-9741,-8157
-9740,-9738
-9740,-9737
-9740,-8158
-9739,-9739
-9739,-9738
-9739,3370
-9738,-9740
-9738,-9739
-9738,3369
-9737,-9740
-9737,3367
-9737,3368
-9736,-9741
-9736,3367
-9736,9657
-9736,9658
-9735,3366
-9735,9656
-9735,9657
-9734,9656
-9728,-9389
-9728,7266
-9727,-9391
-9727,-9390
-9727,7265
-9726,-9391
-9726,-9003
-9726,7264
-9725,-9392
-9725,-9005
-9725,-9004
-9724,-9005
-9723,-9006
-9715,5119
-9714,5118
-9713,-6300
-9713,5117
-9712,-6302
-9712,-6301
-9711,-6303
-9711,-6302
-9710,-6304
-9710,-6303
-9709,-8170
-9709,-6304
-9708,-8171
-9708,-6305
-9707,-8172
-9706,-8173
-9706,-54
-9706,9258
-9705,-55
-9705,9257
-9704,-56
-9704,-55
-9704,9256
-9703,-57
-9703,-56
-9703,9255
-9702,-2930
-9702,-58
-9702,8349
-9702,9254
-9701,-2932
-9701,-2931
-9701,8347
-9701,8348
-9700,-2933
-9700,-2932
-9700,3358
-9700,8347
-9699,-2933
-9699,3357
-9699,8346
-9699,9648
-9698,-2934
-9698,3356
-9698,9647
-9697,9646
-9696,195
-9696,9645
-9695,194
-9694,193
-9693,192
-9686,4333
-9685,4332
-9684,4331
-9683,4330
-9680,-3821
-9679,-3822
-9678,-3823
-9678,-3822
-9678,-26
-9677,-3824
-9677,-27
-9676,-28
-9675,-29
-9675,8377
-9674,-30
-9674,8376
-9673,8375
-9672,-2517
-9672,8374
-9671,-2518
-9670,-2519
-9669,-2520
-9669,4685
-9668,4684
-9667,4683
-9659,-8599
-9658,-8600
-9658,425
-9657,-8601
-9657,424
-9656,-8602
-9656,423
-9655,-8603
-9655,422
-9643,7449
-9642,7448
-9641,7447
-9640,7446
-9639,7445
-9638,3539
-9637,-7107
-9637,3540
-9636,3541
-9636,5872
-9635,5870
-9635,5871
-9634,-9216
-9634,5869
-9634,5870
-9633,5869
-9632,-7102
-9632,5868
-9631,-7101
-9629,-9211
-9620,7646
-9618,5650
-9617,-2748
-9617,5649
-9616,-6157
-9616,-2749
-9616,5648
-9616,5649
-9615,-6158
-9615,-2750
-9615,-2749
-9615,5647
-9615,5648
-9615,5795
-9614,-6159
-9614,-2751
-9614,-2750
-9614,5646
-9614,5794
-9614,7652
-9613,-7065
-9613,-6160
-9613,-2752
-9613,-2751
-9613,5793
-9612,-9733
-9612,-7067
-9612,-7066
-9611,-9732
-9611,-7068
-9611,-7067
-9610,-7068
-9609,-7069
-9602,-47
-9602,7824
-9601,-48
-9601,7823
-9600,-49
-9600,-48
-9600,7822
-9599,-50
-9598,-51
-9589,-6129
-9589,8559
-9588,-6130
-9588,8558
-9587,-6131
-9587,8557
-9586,-6132
-9586,8556
-9585,-7038
-9585,-6133
-9585,8555
-9584,-7039
-9584,4868
-9583,-7040
-9583,4867
-9582,-7041
-9582,4866
-9581,4865
-9580,4864
-9579,2905
-9578,2904
-9577,2903
-9576,2902
-9575,2901
-9573,-4482
-9573,5993
-9572,-4483
-9571,-4484
-9570,-4485
-9568,5998
-9562,-2664
-9562,8587
-9561,8586
-9560,8585
-9560,8586
-9559,8584
-9559,8585
-9558,8583
-9558,8584
-9557,-2659
-9557,8582
-9555,4895
-9554,4894
-9553,-622
-9553,4893
-9552,-3117
-9552,-623
-9551,-3118
-9551,-624
-9550,-3119
-9550,-625
-9550,9222
-9549,-7434
-9549,-3120
-9549,9221
-9548,-7436
-9548,-7435
-9548,9220
-9547,-7436
-9547,-4425
-9547,9219
-9546,-7437
-9546,9218
-9545,-6422
-9544,-6423
-9543,-6424
-9543,-4309
-9542,-6425
-9542,-4420
-9542,-4310
-9541,-4311
-9538,-5117
-9538,-656
-9537,-5405
-9537,-5119
-9537,-5118
-9537,-657
-9536,-5406
-9536,-5120
-9536,-5119
-9536,-658
-9535,-5407
-9535,-5121
-9535,-5120
-9534,-7514
-9534,-5408
-9534,-5121
-9533,-7515
-9533,-5409
-9533,-5122
-9533,-4347
-9533,-4346
-9532,-7516
-9532,-4348
-9532,-4347
-9531,-7517
-9531,-4349
-9531,-4348
-9530,-7518
-9530,-4349
-9530,1544
-9529,-4350
-9526,-594
-9525,-595
-9525,1549
-9524,-596
-9523,-597
-9522,-598
-9517,-3226
-9516,-3228
-9516,-3227
-9515,-3228
-9514,-3229
-9512,8925
-9511,8924
-9510,8923
-9510,8924
-9509,8922
-9509,8923
-9508,-6145
-9508,8921
-9508,8922
-9507,-6146
-9506,-6147
-9505,-6148
-9504,-5133
-9503,-5134
-9503,131
-9502,-5135
-9501,-5136
-9500,775
-9499,774
-9498,136
-9498,773
-9497,-567
-9497,772
-9496,-568
-9495,-569
-9492,4000
-9491,3999
-9490,3998
-9490,3999
-9489,-3199
-9489,3997
-9489,3998
-9488,-3200
-9488,3996
-9487,-3201
-9479,172
-9478,171
-9477,170
-9477,4207
-9476,-1697
-9476,169
-9476,4206
-9476,5120
-9476,8816
-9475,-1698
-9475,4205
-9475,5119
-9475,8814
-9475,8815
-9474,-1699
-9474,4204
-9474,5118
-9474,5119
-9474,8813
-9474,8814
-9473,-1700
-9473,4203
-9473,5117
-9473,5118
-9473,8813
-9472,5116
-9472,8812
-9467,5897
-9466,5369
-9466,5895
-9466,5896
-9465,5368
-9465,5894
-9465,5895
-9464,5367
-9464,5894
-9463,5366
-9463,5893
-9458,1777
-9457,1776
-9456,1775
-9456,9266
-9456,9267
-9455,1774
-9455,9265
-9455,9266
-9454,9264
-9454,9265
-9453,6631
-9453,9264
-9452,6630
-9452,9263
-9451,6629
-9450,6628
-9449,6627
-9448,9369
-9448,9370
-9447,9368
-9447,9369
-9446,9368
-9444,-1424
-9443,-1425
-9442,-1426
-9441,-3247
-9441,-1427
-9441,402
-9440,-3248
-9440,-1428
-9440,401
-9439,-3249
-9439,400
-9439,5924
-9438,399
-9438,5923
-9437,-4969
-9437,5922
-9436,-4970
-9436,5921
-9435,-4971
-9434,-4972
-9433,-4973
-9433,7045
-9429,9535
-9428,7050
-9428,9534
-9427,9533
-9426,9532
-9425,9531
-9422,-7404
-9422,6757
-9421,-7405
-9421,6756
-9421,7258
-9420,-7406
-9420,6755
-9420,7259
-9419,6754
-9417,-9239
-9416,1098
-9416,9356
-9415,1097
-9415,9355
-9414,1096
-9414,9354
-9413,9353
-9412,-9234
-9412,9352
-9410,2144
-9407,821
-9406,819
-9406,820
-9405,818
-9405,819
-9405,2149
-9404,818
-9403,817
-9399,7454
-9398,7453
-9397,7452
-9397,7453
-9396,7451
-9396,7452
-9395,7450
-9395,7451
-9394,7449
-9389,9384
-9388,9383
-9387,9382
-9387,9383
-9386,9381
-9386,9382
-9385,9380
-9385,9381
-9383,-5278
-9382,-5277
-9377,-2461
-9376,-2462
-9375,-2463
-9374,-2464
-9373,-2465
-9362,8258
-9361,8257
-9360,8256
-9360,8884
-9359,8255
-9359,8883
-9358,8254
-9358,8882
-9358,8883
-9357,8881
-9357,8882
-9356,8880
-9349,-7283
-9348,-7284
-9347,-7285
-9339,-4439
-9338,-4440
-9337,-4441
-9336,-4442
-9335,-4443
-9332,1854
-9331,1853
-9330,1852
-9324,904
-9323,-8168
-9323,903
-9322,-8169
-9322,-7255
-9322,902
-9321,-8170
-9321,-7256
-9321,901
-9320,-8171
-9320,-7257
-9320,235
-9320,900
-9319,-7258
-9319,234
-9318,233
-9317,232
-9315,-9119
-9314,-9120
-9313,-9121
-9313,-9120
-9312,-9122
-9312,-9121
-9312,1779
-9311,-9123
-9311,1777
-9311,1778
-9311,4373
-9310,1777
-9310,4372
-9309,1776
-9309,4371
-9309,4372
-9308,4370
-9308,4371
-9300,-5743
-9299,-5745
-9299,-5744
-9298,-5746
-9298,-5745
-9297,-5747
-9297,-5746
-9296,-5747
-9296,931
-9295,-5748
-9295,930
-9295,3813
-9294,929
-9294,3811
-9294,3812
-9293,-5113
-9293,928
-9293,3810
-9293,3811
-9292,-5114
-9292,262
-9292,3810
-9291,-5115
-9291,261
-9291,3809
-9290,-5116
-9290,260
-9289,-5117
-9286,-9092
-9285,-9093
-9284,-9094
-9283,4401
-9282,4400
-9281,4399
-9280,4398
-9279,4397
-9274,1768
-9273,1767
-9272,1766
-9271,-7971
-9270,-7972
-9269,-7973
-9268,-7974
-9267,-7975
-9267,-7439
-9267,3840
-9266,-7440
-9266,3839
-9265,-7441
-9265,-5086
-9265,3838
-9264,-7442
-9264,-5087
-9264,3837
-9263,-7443
-9263,-5088
-9262,-5089
-9262,389
-9261,388
-9261,7206
-9260,387
-9260,388
-9260,7205
-9260,8119
-9259,-519
-9259,386
-9259,7204
-9259,8118
-9258,-520
-9258,7203
-9258,8117
-9257,-521
-9257,8116
-9256,-522
-9255,-523
-9253,-4211
-9253,6255
-9252,-8960
-9252,-4212
-9252,6254
-9251,-8961
-9251,-4213
-9251,6253
-9251,6254
-9250,-8962
-9250,6252
-9250,6253
-9249,-8963
-9249,6251
-9248,-8964
-9244,-7943
-9243,-7944
-9242,-7945
-9242,-7944
-9241,-7946
-9241,-7945
-9240,-7947
-9240,-7946
-9240,-6358
-9239,-7948
-9239,-6359
-9238,-6360
-9235,3826
-9234,3825
-9234,7234
-9233,3824
-9233,3825
-9233,7233
-9232,3823
-9232,3824
-9232,7232
-9232,8147
-9231,3822
-9231,3823
-9231,7231
-9231,8146
-9230,3821
-9230,7230
-9230,8145
-9229,8144
-9227,3015
-9226,-9559
-9226,3014
-9225,-9560
-9225,-8119
-9225,3013
-9224,-9561
-9224,-8120
-9223,-9562
-9223,-8121
-9219,6415
-9217,243
-9217,9794
-9216,241
-9216,242
-9216,9793
-9216,9794
-9215,240
-9215,241
-9215,9792
-9215,9793
-9214,240
-9214,6420
-9214,9791
-9214,9792
-9213,239
-9212,-78
-9210,4808
-9210,9898
-9209,4807
-9209,9897
-9208,4806
-9208,9896
-9207,9895
-9206,-72
-9206,9894
-9198,-6123
-9197,-6124
-9196,-6125
-9195,-6126
-9195,-4823
-9194,-4824
-9193,-4825
-9192,-4826
-9192,6028
-9191,-4827
-9191,6027
-9190,6026
-9189,6025
-9188,-9569
-9188,6024
-9187,-9570
-9186,-9571
-9185,-9572
-9180,4695
-9179,4694
-9178,4693
-9177,4692
-9172,6239
-9171,-8736
-9171,6238
-9170,-8737
-9170,6237
-9169,-8738
-9169,6236
-9168,-8739
-9168,1875
-9168,7011
-9167,1874
-9167,7010
-9166,1873
-9166,7009
-9165,1872
-9165,7008
-9164,-3256
-9163,-3257
-9162,-3258
-9161,-3259
-9160,-3925
-9160,-3260
-9159,-9154
-9159,-3926
-9158,-9156
-9158,-3927
-9157,-9157
-9157,-3928
-9156,-9158
-9156,4191
-9155,4190
-9154,4189
-9153,4188
-9150,-8138
-9149,-8139
-9148,-8140
-9148,-168
-9147,-8141
-9147,-169
-9146,-8142
-9146,-170
-9145,-171
-9141,2430
-9140,2429
-9139,2428
-9138,2427
-9126,429
-9125,427
-9125,428
-9124,427
-9123,-7870
-9123,426
-9122,-7871
-9121,-7872
-9121,-7871
-9120,-7873
-9120,-7872
-9119,-7874
-9119,-7873
-9118,-7875
-9117,2886
-9116,2885
-9115,-8007
-9115,2884
-9114,-8008
-9114,2883
-9113,-8009
-9112,-8010
-9112,2844
-9111,-8011
-9111,2843
-9110,2842
-9110,2843
-9109,2841
-9109,2842
-9109,7839
-9108,2840
-9108,7838
-9107,7837
-9106,7836
-9105,7835
-9104,-8046
-9103,-8047
-9102,-8048
-9102,2921
-9101,2922
-9100,-7274
-9099,-7275
-9098,-7276
-9095,-249
-9093,-352
-9092,-2321
-9092,-354
-9092,-353
-9091,-5103
-9091,-2322
-9091,-355
-9091,-354
-9090,-5104
-9090,-2323
-9090,-356
-9090,-355
-9090,-244
-9089,-5105
-9089,-5104
-9089,-2324
-9089,-356
-9089,8290
-9088,-5106
-9088,-5105
-9088,-357
-9088,4067
-9088,8289
-9087,-5107
-9087,4066
-9087,4067
-9087,8288
-9086,4065
-9086,4066
-9086,8287
-9085,4064
-9085,4065
-9083,2871
-9082,2870
-9081,2869
-9077,8638
-9076,6143
-9076,8637
-9075,-6865
-9075,6142
-9075,8636
-9074,-6866
-9074,-6865
-9074,6141
-9074,8635
-9073,-6867
-9073,-6866
-9073,6140
-9072,-6868
-9069,6247
-9068,6246
-9067,6245
-9066,6244
-9065,6243
-9048,-1460
-9047,-1461
-9046,-1462
-9045,-1463
-9044,-1464
-9042,-3988
-9039,2051
-9038,2050
-9037,-5674
-9037,-3983
-9037,2049
-9036,-5675
-9035,-5676
-9034,-5677
-9034,4411
-9033,-4247
-9033,-1780
-9033,4409
-9033,4410
-9032,-1781
-9032,4408
-9032,4409
-9031,-1782
-9031,-1781
-9031,4407
-9031,4408
-9031,6763
-9030,-1783
-9030,-1782
-9030,4407
-9030,6762
-9029,-1784
-9029,-1783
-9029,4406
-9029,6761
-9028,-1785
-9027,-4241
-9024,1491
-9023,1489
-9023,1490
-9023,6053
-9022,1489
-9022,6052
-9021,1488
-9021,6051
-9020,6050
-9019,-8889
-9019,6049
-9018,8792
-9017,8791
-9016,8790
-9014,-8884
-9013,-8883
-9009,-270
-9008,-271
-9008,4052
-9007,-272
-9007,4051
-9006,-273
-9006,4050
-9006,4438
-9005,4049
-9005,4437
-9004,4048
-9004,4436
-9003,4435
-9002,4434
-8998,-4771
-8998,-2803
-8997,-4772
-8997,-2804
-8996,-4773
-8996,-2805
-8995,-4774
-8995,-2806
-8994,-3977
-8993,-3976
-8993,6226
-8992,6225
-8991,6224
-8990,6223
-8989,-1787
-8988,-1788
-8987,-1789
-8987,8678
-8986,8677
-8981,8782
-8980,8781
-8980,8782
-8979,8780
-8979,8781
-8978,8779
-8978,8780
-8976,242
-8975,241
-8974,240
-8967,-4885
-8966,-4886
-8965,-4887
-8965,9662
-8964,9375
-8964,9661
-8963,9374
-8963,9660
-8962,9373
-8961,9372
-8956,-9385
-8955,-9387
-8955,-9386
-8954,-9387
-8953,-9388
-8953,25
-8952,24
-8951,23
-8941,9158
-8940,-6824
-8940,9157
-8939,-6825
-8939,9156
-8938,-6826
-8938,9155
-8937,-6827
-8936,-6828
-8934,9548
-8933,9547
-8932,-8689
-8932,9546
-8931,-9216
-8931,-8690
-8931,7439
-8930,-9218
-8930,-9217
-8930,-8691
-8930,7438
-8929,-9218
-8929,-8692
-8929,7437
-8928,-9219
-8928,-3741
-8927,-3742
-8926,-3743
-8925,-3744
-8917,7474
-8916,1983
-8916,7475
-8915,1982
-8915,7476
-8914,1981
-8913,1980
-8906,5640
-8906,5641
-8905,5639
-8905,5640
-8904,5638
-8904,5639
-8903,5638
-8902,5637
-8899,-3605
-8895,-9899
-8894,-9900
-8894,-3600
-8893,-9901
-8893,-3599
-8892,-9902
-8891,-9903
-8889,9642
-8888,9641
-8887,9640
-8886,9639
-8883,-7996
-8882,-7995
-8882,8018
-8881,-7994
-8881,8017
-8880,8016
-8880,8017
-8879,-1675
-8879,8015
-8879,8016
-8878,-1676
-8878,-235
-8878,8014
-8877,-1677
-8877,-236
-8876,-1678
-8876,-237
-8875,-1679
-8875,-238
-8873,-9062
-8872,-9063
-8872,923
-8871,-9064
-8871,922
-8870,-9065
-8870,921
-8869,-4595
-8869,920
-8868,-4596
-8867,-4597
-8855,4924
-8854,4923
-8853,4922
-8852,4921
-8850,-1408
-8849,-1409
-8848,-1410
-8846,-8507
-8846,-7980
-8845,-8508
-8845,-7981
-8844,-8509
-8844,-7982
-8844,-250
-8843,-8510
-8843,-251
-8842,-252
-8840,7339
-8839,7338
-8838,7337
-8837,7336
-8836,2208
-8836,9025
-8836,9838
-8835,2207
-8835,9024
-8835,9837
-8834,2206
-8834,9023
-8834,9024
-8834,9836
-8833,2205
-8833,9022
-8833,9023
-8832,2204
-8832,9021
-8832,9022
-8830,8742
-8829,8741
-8828,8740
-8828,8741
-8827,8739
-8827,8740
-8826,-37
-8826,8738
-8825,-39
-8825,-38
-8824,-40
-8824,-39
-8823,-41
-8823,-40
-8822,-41
-8821,-42
-8818,-9246
-8818,-4544
-8817,-9247
-8817,-4545
-8816,-9248
-8816,-4546
-8815,-9249
-8814,-9250
-8812,3191
-8811,3190
-8810,3189
-8809,3188
-8808,2235
-8807,2234
-8807,2235
-8806,2233
-8806,2234
-8805,2232
-8805,2233
-8804,-9953
-8804,2231
-8803,-9954
-8802,-9955
-8801,-9956
-8800,1572
-8799,1570
-8799,1571
-8798,1569
-8798,1570
-8797,1569
-8796,1568
-8789,2937
-8784,2942
-8782,436
-8781,435
-8780,434
-8779,4904
-8778,4903
-8777,4902
-8776,4901
-8774,-2722
-8773,-2723
-8772,-2724
-8771,-2725
-8770,-2726
-8768,-4733
-8768,403
-8767,-5787
-8767,-4734
-8767,402
-8766,-5788
-8766,-4735
-8766,-4734
-8766,401
-8765,-5789
-8765,-4736
-8765,400
-8765,5638
-8764,-5790
-8764,5637
-8763,-5791
-8763,5636
-8762,5635
-8756,1934
-8754,1159
-8753,1160
-8752,1161
-8751,1939
-8751,4931
-8750,4930
-8749,4929
-8746,-4136
-8745,-4137
-8744,-4138
-8736,3170
-8736,9701
-8735,3169
-8735,9700
-8734,3168
-8734,9699
-8733,9698
-8733,9699
-8732,9697
-8731,-5897
-8731,5623
-8731,9696
-8730,-7477
-8730,-5898
-8730,5622
-8729,-7479
-8729,-7478
-8729,-5899
-8729,5621
-8728,-7480
-8728,-7479
-8727,-7481
-8727,-7480
-8726,-7481
-8725,-1090
-8724,-5793
-8724,-1091
-8723,-5794
-8723,-1092
-8722,-5795
-8722,-1093
-8721,-5796
-8720,-4254
-8719,-4255
-8718,-4256
-8718,-986
-8717,-987
-8716,-988
-8715,-989
-8715,8184
-8714,-990
-8714,8183
-8713,8182
-8712,8181
-8712,8717
-8711,8715
-8711,8716
-8710,8714
-8710,8715
-8709,8713
-8709,8714
-8708,-2050
-8708,8713
-8703,-2045
-8703,5759
-8702,-2044
-8700,-5096
-8699,-7764
-8699,-5098
-8699,-5097
-8698,-7763
-8698,-5099
-8698,-5098
-8697,-7762
-8697,-5099
-8697,5765
-8696,-5100
-8695,-2644
-8694,-8021
-8694,-2645
-8694,-290
-8694,1964
-8693,-8022
-8693,-2646
-8693,-291
-8693,1963
-8693,4559
-8692,-2647
-8692,-292
-8692,-291
-8692,1962
-8692,4558
-8691,-293
-8691,-292
-8691,4557
-8690,-294
-8690,4556
-8689,4555
-8682,-968
-8682,1748
-8678,-9922
-8678,-3105
-8677,-9923
-8677,-3106
-8676,-9924
-8676,-3107
-8676,-3106
-8676,-962
-8676,1754
-8675,-9925
-8675,-3108
-8675,-3107
-8674,-9926
-8674,-3109
-8674,-3108
-8673,8705
-8672,-5595
-8672,8704
-8671,-5597
-8671,-5596
-8671,8703
-8670,-5598
-8670,-5597
-8669,-5599
-8669,-5598
-8668,-5599
-8667,-5600
-8663,-4579
-8662,-8515
-8662,-4580
-8661,-8517
-8661,-8516
-8661,-4581
-8660,-8517
-8660,-4582
-8659,-8518
-8659,-4583
-8655,-1068
-8654,-1069
-8653,-1070
-8652,-1071
-8649,-3078
-8648,-3079
-8647,-3080
-8647,-1491
-8646,-3081
-8646,-1493
-8646,-1492
-8645,-1494
-8645,-1493
-8644,-1494
-8643,-1495
-8641,-8878
-8640,-8879
-8640,-6802
-8639,-8880
-8638,-8881
-8637,-2970
-8636,-2971
-8636,8696
-8635,-2972
-8635,8695
-8634,-6796
-8634,-2973
-8634,8694
-8633,8693
-8632,-8628
-8632,-3539
-8632,8692
-8631,-8630
-8631,-8629
-8631,-3540
-8630,-8631
-8630,-8630
-8630,-3541
-8630,-3540
-8629,-8631
-8629,-3542
-8629,-3541
-8628,-8632
-8628,-3543
-8628,-3542
-8620,-2378
-8620,-2377
-8619,-2379
-8619,-2378
-8618,-2380
-8618,-2379
-8617,-2380
-8616,-5713
-8615,-5712
-8615,3371
-8615,8860
-8614,8859
-8613,7038
-8613,8858
-8612,7037
-8612,8857
-8611,7036
-8610,7035
-8609,3377
-8596,1968
-8595,1967
-8594,1966
-8593,1965
-8592,1964
-8589,-4746
-8588,-4747
-8588,-4746
-8587,-4748
-8587,-4747
-8586,-4748
-8580,-733
-8579,-732
-8572,-3626
-8571,-3627
-8571,169
-8570,-3628
-8570,168
-8569,167
-8569,168
-8568,166
-8568,167
-8567,165
-8561,-4718
-8560,-4719
-8559,-4720
-8558,-4721
-8555,-9177
-8554,-9178
-8554,-6822
-8553,-9179
-8553,-6823
-8552,-6824
-8551,-6825
-8550,-6826
-8548,-3696
-8547,-3698
-8547,-3697
-8546,-3699
-8546,-3698
-8545,-3699
-8544,-3700
-8541,-6475
-8541,-3066
-8540,-6476
-8540,-3067
-8539,-6477
-8539,-3068
-8538,-3069
-8537,-327
-8537,-326
-8536,-328
-8536,-327
-8535,-329
-8535,-328
-8534,-329
-8533,-330
-8529,-7568
-8529,-7567
-8528,-7569
-8528,-7568
-8527,-7569
-8525,1989
-8524,-7850
-8524,1988
-8523,-7851
-8523,-6696
-8523,1987
-8522,-7852
-8522,-6697
-8521,-6698
-8520,-6699
-8518,-8419
-8517,-8420
-8516,-8421
-8516,9823
-8515,-8422
-8515,9822
-8514,9821
-8513,9820
-8505,-3749
-8504,-3750
-8503,-3751
-8503,-3750
-8502,-3752
-8502,-3751
-8501,-3753
-8499,-337
-8498,-338
-8497,-9022
-8497,-339
-8496,-9023
-8495,-9024
-8494,-9025
-8481,-798
-8480,-799
-8479,-800
-8478,-801
-8475,73
-8474,-8038
-8474,72
-8473,-8039
-8473,71
-8473,72
-8472,-8040
-8472,70
-8472,71
-8471,-8041
-8471,-69
-8471,69
-8470,-8042
-8470,-70
-8469,-71
-8466,-8462
-8465,-8463
-8464,-8464
-8463,-8465
-8462,-8466
-8462,421
-8461,420
-8460,-3369
-8460,419
-8459,-3370
-8459,418
-8458,-6264
-8458,-3371
-8458,-248
-8458,8536
-8457,-6263
-8457,-3372
-8457,-249
-8457,8535
-8457,8536
-8456,-6532
-8456,-250
-8456,8534
-8456,8535
-8455,-6533
-8455,8533
-8454,-6534
-8453,-6535
-8452,-6961
-8452,-6536
-8452,-6258
-8451,-6962
-8450,-6963
-8449,-6964
-8449,-3971
-8447,-3548
-8447,5763
-8447,5764
-8446,-8011
-8446,-3549
-8446,5762
-8446,5763
-8445,-8298
-8445,-8012
-8445,-3550
-8445,-2922
-8445,5761
-8445,5762
-8444,-8299
-8444,-8013
-8444,-3966
-8444,-3551
-8444,-2923
-8443,-9353
-8443,-8300
-8443,-8014
-8443,-2924
-8442,-9354
-8442,-8301
-8442,-2925
-8441,-9355
-8438,-8434
-8437,-8436
-8437,-8435
-8436,-8437
-8436,-8436
-8435,-8437
-8434,-8438
-8433,-7423
-8433,-2814
-8432,-7424
-8432,-2815
-8432,3716
-8431,-7425
-8431,-2816
-8431,3715
-8430,-2817
-8430,3714
-8429,3713
-8428,3712
-8420,-785
-8419,-786
-8418,-787
-8417,-788
-8416,-2895
-8415,-2896
-8413,9157
-8412,9156
-8411,9155
-8410,-7881
-8410,-7880
-8410,8488
-8409,-7882
-8409,-7881
-8409,8487
-8409,8488
-8408,-7882
-8408,8486
-8408,8487
-8407,-7883
-8407,8485
-8405,-9890
-8404,-9891
-8404,1776
-8403,-9892
-8403,1775
-8402,-9893
-8402,1774
-8402,9792
-8401,1773
-8401,9791
-8400,1772
-8400,9790
-8392,683
-8392,8027
-8391,682
-8391,8026
-8390,681
-8390,682
-8390,8025
-8389,680
-8389,8024
-8386,-2507
-8385,-2506
-8384,-3389
-8384,-2505
-8383,-3391
-8383,-3390
